f, 1
b, 1
f, 1
r, 1
b, 1
f, 1
u, 1
r, 1
u, 1
r, 1
l, 1
f, 1
r, 1
f, 2
f, 3
r, 1
l, 1
l, 1
l, 1
r, 1
f, 2
l, 1
r, 1
f, 2
r, 1
r, 1
l, 1
f, 3
r, 1
f, 2
f, 2
r, 1
l, 1
r, 1
l, 1
l, 1
r, 1
f, 2
r, 1
f, 1
b, 1
l, 1
l, 1
u, 1
f, 1
f, 1
l, 1
f, 1
l, 1
l, 1
f, 1
l, 1
f, 1
r, 1
f, 3
r, 1
b, 1
f, 1
f, 2
f, 2
f, 2
u, 1
u, 1
f, 2
b, 1
l, 1
b, 1
f, 1
r, 1
r, 1
f, 1
f, 2
f, 3
f, 1
l, 1
f, 1
f, 2
f, 1
l, 1
u, 1
f, 1
f, 1
f, 3
f, 3
f, 1
b, 1
f, 1
r, 1
b, 1
f, 1
u, 1
r, 1
u, 1
r, 1
l, 1
f, 1
r, 1
f, 2
f, 3
r, 1
l, 1
l, 1
l, 1
r, 1
f, 2
l, 1
r, 1
f, 2
r, 1
r, 1
l, 1
f, 3
r, 1
f, 2
f, 2
r, 1
l, 1
r, 1
l, 1
l, 1
r, 1
f, 2
r, 1
f, 1
b, 1
l, 1
l, 1
u, 1
f, 1
f, 1
l, 1
f, 1
l, 1
l, 1
f, 1
l, 1
f, 1
r, 1
f, 3
r, 1
b, 1
f, 1
f, 2
f, 2
f, 2
u, 1
u, 1
f, 2
b, 1
l, 1
b, 1
f, 1
r, 1
r, 1
f, 1
f, 2
f, 3
f, 1
l, 1
f, 1
f, 2
f, 1
l, 1
u, 1
f, 1
f, 1
f, 3
f, 3
f, 1
b, 1
f, 1
r, 1
b, 1
f, 1
u, 1
r, 1
u, 1
r, 1
l, 1
f, 1
r, 1
f, 2
f, 3
r, 1
l, 1
l, 1
l, 1
r, 1
f, 2
l, 1
r, 1
f, 2
r, 1
r, 1
l, 1
f, 3
r, 1
f, 2
f, 2
r, 1
l, 1
r, 1
l, 1
l, 1
r, 1
f, 2
r, 1
f, 1
b, 1
l, 1
